label_type,model,estimator,segment,precision,recall,f1,roc_auc,precision_tol,recall_tol,f1_tol,tn,fp,fn,tp,n_obs
spike_roll,A_base_macro,lightgbm,overall,0.3941798941798942,0.3404255319148936,0.1167971662938106,0.5014078212520471,0.3941798941798942,0.3404255319148936,0.1167971662938106,147,103,103,25,378
spike_roll,A_base_macro,lightgbm,regime:unclassified,0.3941798941798942,0.3404255319148936,0.1167971662938106,0.5014078212520471,0.3941798941798942,0.3404255319148936,0.1167971662938106,147,103,103,25,378
spike_roll,A_base_macro,lightgbm,vix_regime:high_vix,0.09126984126984126,0.5,0.15436241610738255,0.36102666839145414,0.09126984126984126,0.5,0.15436241610738255,4,103,62,23,192
spike_roll,A_base_macro,lightgbm,vix_regime:low_vix,0.5,0.03125,0.058823529411764705,0.6264508928571428,0.5,0.03125,0.058823529411764705,143,0,41,2,186
spike_roll,A_base_macro,logistic,overall,0.4926426426426427,0.5664227847391584,0.3505992753495528,0.5970003633666537,0.5249249249249249,0.600271914332969,0.36473172078055544,163,87,89,39,378
spike_roll,A_base_macro,logistic,regime:unclassified,0.4926426426426427,0.5664227847391584,0.3505992753495528,0.5970003633666537,0.5249249249249249,0.600271914332969,0.36473172078055544,163,87,89,39,378
spike_roll,A_base_macro,logistic,vix_regime:high_vix,0.7250000000000001,0.5508415147265078,0.4742063492063492,0.5801226187720421,0.775,0.55890603085554,0.48809523809523814,88,19,54,31,192
spike_roll,A_base_macro,logistic,vix_regime:low_vix,0.2972972972972973,0.3338068181818182,0.11176470588235293,0.5157996894409939,0.30405405405405406,0.37926136363636365,0.12352941176470589,75,68,35,8,186
spike_roll,A_base_macro,random_forest,overall,0.06084656084656084,0.3333333333333333,0.1029082774049217,0.6201034259681862,0.06084656084656084,0.3333333333333333,0.1029082774049217,147,103,105,23,378
spike_roll,A_base_macro,random_forest,regime:unclassified,0.06084656084656084,0.3333333333333333,0.1029082774049217,0.6201034259681862,0.06084656084656084,0.3333333333333333,0.1029082774049217,147,103,105,23,378
spike_roll,A_base_macro,random_forest,vix_regime:high_vix,0.09126984126984126,0.5,0.15436241610738255,0.6714884121515816,0.09126984126984126,0.5,0.15436241610738255,4,103,62,23,192
spike_roll,A_base_macro,random_forest,vix_regime:low_vix,0.0,0.0,0.0,0.6512867906549972,0.0,0.0,0.0,143,0,43,0,186
spike_roll,B_base_macro_sentiment,lightgbm,overall,0.3941798941798942,0.3404255319148936,0.1167971662938106,0.5717357463042811,0.3941798941798942,0.3404255319148936,0.1167971662938106,147,103,103,25,378
spike_roll,B_base_macro_sentiment,lightgbm,regime:unclassified,0.3941798941798942,0.3404255319148936,0.1167971662938106,0.5717357463042811,0.3941798941798942,0.3404255319148936,0.1167971662938106,147,103,103,25,378
spike_roll,B_base_macro_sentiment,lightgbm,vix_regime:high_vix,0.09126984126984126,0.5,0.15436241610738255,0.4889610765397132,0.09126984126984126,0.5,0.15436241610738255,4,103,62,23,192
spike_roll,B_base_macro_sentiment,lightgbm,vix_regime:low_vix,0.5,0.03125,0.058823529411764705,0.6384016798418972,0.5,0.03125,0.058823529411764705,143,0,41,2,186
spike_roll,B_base_macro_sentiment,logistic,overall,0.356029810298103,0.5951139517281978,0.2780333434297541,0.5802961999556925,0.3600948509485095,0.6254169820312281,0.2852018022111162,150,100,96,32,378
spike_roll,B_base_macro_sentiment,logistic,regime:unclassified,0.356029810298103,0.5951139517281978,0.2780333434297541,0.5802961999556925,0.3600948509485095,0.6254169820312281,0.2852018022111162,150,100,96,32,378
spike_roll,B_base_macro_sentiment,logistic,vix_regime:high_vix,0.22916666666666666,0.4782608695652174,0.30985915492957744,0.5923802407440188,0.22916666666666666,0.4782608695652174,0.3098591549295775,81,26,63,22,192
spike_roll,B_base_macro_sentiment,logistic,vix_regime:low_vix,0.3048780487804878,0.4247159090909091,0.12618595825426945,0.5178911102484471,0.31097560975609756,0.47017045454545453,0.13693864642631245,69,74,33,10,186
spike_roll,B_base_macro_sentiment,random_forest,overall,0.06084656084656084,0.3333333333333333,0.1029082774049217,0.7263641099207772,0.06084656084656084,0.3333333333333333,0.1029082774049217,147,103,105,23,378
spike_roll,B_base_macro_sentiment,random_forest,regime:unclassified,0.06084656084656084,0.3333333333333333,0.1029082774049217,0.7263641099207772,0.06084656084656084,0.3333333333333333,0.1029082774049217,147,103,105,23,378
spike_roll,B_base_macro_sentiment,random_forest,vix_regime:high_vix,0.09126984126984126,0.5,0.15436241610738255,0.7742965250071487,0.09126984126984126,0.5,0.15436241610738255,4,103,62,23,192
spike_roll,B_base_macro_sentiment,random_forest,vix_regime:low_vix,0.0,0.0,0.0,0.688369476990401,0.0,0.0,0.0,143,0,43,0,186
spike_roll,C_full,lightgbm,overall,0.3941798941798942,0.3404255319148936,0.1167971662938106,0.5717357463042811,0.3941798941798942,0.3404255319148936,0.1167971662938106,147,103,103,25,378
spike_roll,C_full,lightgbm,regime:unclassified,0.3941798941798942,0.3404255319148936,0.1167971662938106,0.5717357463042811,0.3941798941798942,0.3404255319148936,0.1167971662938106,147,103,103,25,378
spike_roll,C_full,lightgbm,vix_regime:high_vix,0.09126984126984126,0.5,0.15436241610738255,0.4889610765397132,0.09126984126984126,0.5,0.15436241610738255,4,103,62,23,192
spike_roll,C_full,lightgbm,vix_regime:low_vix,0.5,0.03125,0.058823529411764705,0.6384016798418972,0.5,0.03125,0.058823529411764705,143,0,41,2,186
spike_roll,C_full,logistic,overall,0.356029810298103,0.5951139517281978,0.2780333434297541,0.5802961999556925,0.3600948509485095,0.6254169820312281,0.2852018022111162,150,100,96,32,378
spike_roll,C_full,logistic,regime:unclassified,0.356029810298103,0.5951139517281978,0.2780333434297541,0.5802961999556925,0.3600948509485095,0.6254169820312281,0.2852018022111162,150,100,96,32,378
spike_roll,C_full,logistic,vix_regime:high_vix,0.22916666666666666,0.4782608695652174,0.30985915492957744,0.5923802407440188,0.22916666666666666,0.4782608695652174,0.3098591549295775,81,26,63,22,192
spike_roll,C_full,logistic,vix_regime:low_vix,0.3048780487804878,0.4247159090909091,0.12618595825426945,0.5178911102484471,0.31097560975609756,0.47017045454545453,0.13693864642631245,69,74,33,10,186
spike_roll,C_full,random_forest,overall,0.06084656084656084,0.3333333333333333,0.1029082774049217,0.7770472058903977,0.06084656084656084,0.3333333333333333,0.1029082774049217,147,103,105,23,378
spike_roll,C_full,random_forest,regime:unclassified,0.06084656084656084,0.3333333333333333,0.1029082774049217,0.7770472058903977,0.06084656084656084,0.3333333333333333,0.1029082774049217,147,103,105,23,378
spike_roll,C_full,random_forest,vix_regime:high_vix,0.09126984126984126,0.5,0.15436241610738255,0.7010665314070181,0.09126984126984126,0.5,0.15436241610738255,4,103,62,23,192
spike_roll,C_full,random_forest,vix_regime:low_vix,0.0,0.0,0.0,0.7541929877188029,0.0,0.0,0.0,143,0,43,0,186
spike_top10,A_base_macro,lightgbm,overall,0.5236111111111111,0.7736263736263737,0.6118445737448737,0.5443960008688569,0.5271825396825397,0.778021978021978,0.615785460444381,36,170,104,320,630
spike_top10,A_base_macro,lightgbm,regime:unclassified,0.5236111111111111,0.7736263736263737,0.6118445737448737,0.5443960008688569,0.5271825396825397,0.778021978021978,0.615785460444381,36,170,104,320,630
